667,0.872,1.007,0.616,0.67
18,0.901,0.936,0.779,0.769
9,0.919,0.929,0.656,0.654
267,0.966,0.919,0.907,0.891
172,0.976,0.923,0.761,0.718
442,0.978,1.083,0.807,0.812
441,1.001,1.087,0.894,0.912
178,1.009,1.098,0.722,0.756
352,1.026,1.008,0.909,0.824
802,1.038,1.06,0.921,0.86
37,1.049,0.994,0.956,0.986
538,1.066,1.026,0.991,0.909
262,1.068,1.087,0.925,0.938
268,1.069,1.019,0.887,0.873
351,1.081,1.077,0.877,0.918
261,1.082,1.105,1.037,1.028
448,1.093,1.196,0.875,0.872
801,1.093,1.06,0.952,0.942
718,1.094,1.067,0.948,0.921
232,1.109,1.091,0.71,0.731
763,1.118,1.119,0.908,0.929
768,1.126,1.064,0.699,0.679
10,1.14,1.175,0.739,0.721
757,1.145,1.149,0.944,0.928
43,1.148,1.061,0.92,0.87
795,1.16,1.05,1.062,0.98
241,1.185,1.292,0.819,0.795
255,1.188,1.115,0.992,0.933
133,1.195,1.094,0.942,0.886
345,1.202,1.208,1.101,1.085
751,1.218,1.168,1.096,1.04
30,1.222,1.162,0.959,0.905
568,1.223,1.333,1.079,1.11
574,1.228,1.309,1.056,1.075
808,1.231,1.128,0.935,0.908
36,1.241,1.149,1.169,1.107
435,1.255,1.162,1.113,1.076
27,1.256,1.243,1.155,1.177
250,1.26,1.421,0.963,1.048
127,1.28,1.065,0.932,0.825
712,1.291,1.233,1.046,0.984
269,1.3,1.347,1.01,1.04
28,1.327,1.315,1.24,1.203
583,1.335,1.208,1.113,1.068
613,1.351,1.474,1.409,1.328
754,1.352,1.368,1.231,1.231
346,1.358,1.299,1.145,1.026
34,1.383,1.397,1.286,1.278
260,1.388,1.341,1.092,1.089
259,1.397,1.312,1.259,1.203
163,1.4,1.438,1.262,1.297
658,1.407,1.325,1.17,1.107
796,1.407,1.314,1.149,1.127
33,1.412,1.357,1.324,1.262
445,1.419,1.534,1.2,1.245
709,1.422,1.378,1.236,1.213
760,1.431,1.396,1.324,1.301
124,1.437,1.388,1.324,1.305
529,1.455,1.396,1.292,1.205
664,1.468,1.365,1.239,1.195
436,1.474,1.452,1.261,1.24
748,1.477,1.439,1.331,1.292
19,1.479,1.508,1.072,1.114
264,1.483,1.547,1.377,1.393
805,1.494,1.556,1.34,1.275
118,1.503,1.402,1.283,1.269
253,1.504,1.448,1.309,1.28
703,1.51,1.298,1.235,1.139
793,1.541,1.391,1.337,1.281
394,1.545,1.474,1.34,1.276
792,1.545,1.42,1.365,1.328
388,1.547,1.496,1.302,1.317
575,1.552,1.491,1.317,1.286
252,1.573,1.421,1.417,1.311
799,1.585,1.53,1.402,1.339
39,1.592,1.626,1.535,1.62
258,1.594,1.474,1.339,1.228
565,1.607,1.56,0.989,0.937
